,key_id,tournament_id,stage_number,stage_name,group_name,position,team_id,played,wins,draws,losses,goals_for,goals_against,points,advanced
312,313,WC-1998,1,group stage,Group F,3,T-38,3,1,0,2,2,4,3,0
313,314,WC-1998,1,group stage,Group F,4,T-83,3,0,0,3,1,5,0,0
314,315,WC-1998,1,group stage,Group G,1,T-61,3,2,1,0,4,2,7,1
315,316,WC-1998,1,group stage,Group G,2,T-28,3,2,0,1,5,2,6,1
316,317,WC-1998,1,group stage,Group G,3,T-16,3,1,0,2,1,3,3,0
317,318,WC-1998,1,group stage,Group G,4,T-79,3,0,1,2,1,4,1,0
318,319,WC-1998,1,group stage,Group H,1,T-03,3,3,0,0,7,0,9,1
319,320,WC-1998,1,group stage,Group H,2,T-18,3,2,0,1,4,2,6,1
320,321,WC-1998,1,group stage,Group H,3,T-43,3,1,0,2,3,9,3,0
321,322,WC-1998,1,group stage,Group H,4,T-44,3,0,0,3,1,4,0,0
