tournament_id,team_id,year,goals_for,goals_against,points
WC-2006,T-48,2006,3,1,7
WC-2006,T-55,2006,2,2,3
WC-2006,T-57,2006,2,4,3
WC-2006,T-58,2006,5,1,9
WC-2006,T-63,2006,2,7,1
WC-2006,T-67,2006,2,10,0
WC-2006,T-71,2006,3,4,4
WC-2006,T-73,2006,8,1,9
WC-2006,T-74,2006,3,2,5
WC-2006,T-75,2006,4,0,7
WC-2006,T-77,2006,1,6,0
WC-2006,T-78,2006,0,4,1
WC-2006,T-79,2006,3,6,1
WC-2006,T-81,2006,5,4,6
WC-2006,T-83,2006,2,6,1
WC-2007,T-03,2007,1,18,0
WC-2007,T-04,2007,7,4,5
WC-2007,T-09,2007,10,0,9
WC-2007,T-12,2007,7,4,4
WC-2007,T-14,2007,5,6,6
WC-2007,T-22,2007,4,4,3
WC-2007,T-28,2007,8,3,5
WC-2007,T-31,2007,13,0,7
WC-2007,T-32,2007,3,15,0
WC-2007,T-44,2007,3,4,4
WC-2007,T-49,2007,0,9,0
WC-2007,T-50,2007,1,4,1
WC-2007,T-51,2007,5,4,4
WC-2007,T-53,2007,10,4,7
WC-2007,T-74,2007,3,4,4
WC-2007,T-83,2007,5,2,7
WC-2010,T-01,2010,0,2,1
WC-2010,T-03,2010,7,1,9
WC-2010,T-04,2010,3,6,4
WC-2010,T-09,2010,5,2,7
WC-2010,T-11,2010,2,5,0
WC-2010,T-13,2010,3,2,6
WC-2010,T-22,2010,3,6,3
WC-2010,T-28,2010,2,1,5
WC-2010,T-30,2010,1,4,1
WC-2010,T-31,2010,5,1,6
WC-2010,T-32,2010,2,2,4
WC-2010,T-33,2010,2,5,3
WC-2010,T-35,2010,0,3,1
WC-2010,T-41,2010,4,5,2
WC-2010,T-42,2010,4,3,4
WC-2010,T-44,2010,4,2,6
WC-2010,T-46,2010,3,2,4
WC-2010,T-48,2010,5,1,9
WC-2010,T-49,2010,2,2,3
WC-2010,T-50,2010,3,5,1
WC-2010,T-51,2010,1,12,0
WC-2010,T-55,2010,3,1,5
WC-2010,T-58,2010,7,0,5
WC-2010,T-66,2010,2,3,3
WC-2010,T-68,2010,4,5,4
WC-2010,T-69,2010,3,3,4
WC-2010,T-70,2010,3,5,4
